text,Olek,Kuba,Zgodne?,Stachu,Finalna anotacja
"Dobry i tani oczyszczacz. Ma wskaźnik jakości powietrza, który przetestowałam i sprawdził się bardzo dobrze. Przed otwarciem okna w pokoju stan powietrza był dobry, ale po otwarciu ( a tego wieczory był w powietrzu wyraźny smog) już po minucie oczyszczacz przeskoczył na zły  stan powietrza i włączył  intensywne oczyszczanie.",2,2,T,,2
"Kompletna TANDETA!!!  To szkło w ogóle nie pasuj do LG K8 2017, jest za długie, wycięcia są nieprawidłowe, zgadza się tylko szerokość ale co z tego skoro odstaje bokami, jest PŁASKIE a nie zaokrąglone jak mówi opis, N I E    P O L E C A M ! ! !",0,0,T,,0
"Nie ma tragedii, ale zastosowany materiał nie jest zbyt wytrzymały, a spasowanie części również nie jest idealne. Dedykowane szkło jest odczuwalnie grubsze niż te powszechnie stosowane i mam wrażenie że przez to ekran jest mniej czuły. Plusem jest to, że etui obejmuje również przednie zaokrąglone krawędzie wyświetlacza. Raczej nie zdecydowałbym się na ponowny zakup.",1,0,N,1.0,1
"etui pasuje do Samsunga 4+ co do szybki mam niewielkie zastrzeżenia (rozmiar i kształt uniwersalny) ,szybka która miała chronić telefon pękła na rogu w palcach przed przyklejeniem jej do telefonu . Powierzchnia mimo dokładnego oczyszczenia nie przykleiła się na całej powierzchni i na ekranie widoczny jest podłużny pasek powietrza pod spodem",1,1,T,,1
"Zestaw nie zawiera instrukcji montażu, więc zajęło chwilę poskładanie go tak jak należy. Niektóre elementy nie wydają się bardzo solidne (np. oprawki żarówek, statyw). Ogólnie zestaw jest OK, jak za taką cenę. Zdjęcia przedmiotów w nim umieszczonych wychodzą dużo lepiej niż samym aparatem z lampą - cienie faktycznie są miękkie i delikatne.",1,1,T,,1
"Wykonanie i estetyka na wysokim poziomie. Użytkowałam juz te etui i zapewniam, że jest wygodne i funkcjonalne, a przy tym bardzo efektowne i naprawdę zabezpiecza telefon przed upadkiem. To etui nieraz uratowało mój telefon (spory wyświetlacz (6,44 cala). Dopiero upadek na tzw. płask, przy otwartej klapce   spowodował pojawienie sie drobnej rysy na hartowanym szkle. Polecam zdecydowanie zakup.",2,2,T,,2
LCD świeci ładnie i wyraźnie. Nie jest to co prawda amoled samsunga ale wygląda znośnie. Problem w samym wykonaniu frontu.Sam LCD Jest nieznacznie grubszy niż oryginał i nie ma możliwości poprawnego wklejenia w ramki. Całość nie mieści się w korpusie. Całość po wklejeniu wystaje z ramki o ok 0.5mm. Nie wygląda to fajnie.,1,0,N,0.0,0
"Mówiąc krótko szkło kiepskie. Dłużej: szkło na starcie jest porysowane, pasek odkleił się sam i nie odkleił folii, co spowodowało, że trzeba było ją mechanicznie odkleić (to spowodowało odciski palców i kurz). Wacik do polerowania zostawia bardzo dużo niteczek, nie nadaje się kompletnie. Po tej zabawie tylko porysowany telefon. Nie polecam kompletnie.",0,0,T,,0
"Świetny odkurzacz ! Za te pieniądze - mały, lekki, zgrabny, pięknie wygląda i co najważniejsze  bardzo dobrze ciągnie. Szczotkę aż ciężko oderwać od podłogi :) Bardzo dobry zakup. Gdybym miał jeszcze raz kupować odkurzacz - to tylko ten. Wcześniej używałem 3 razy droższego zelmera. Różnica jedynie w ilości akcesoriów z których rzadko korzystam. POLECAM !!!",2,2,T,,2
ładny i przydatny co do jakośc oczyszczania nie mogę nic powiedzieć bo nie mam jak sprawdzić  Wg. mnie istotne: wskaźnik LED odlicza dni niezależnie czy uzywałeś codziennie czy nie więc nie wiadomo właściwie kiedy zmienić filtr (150 l w ciągu 30 jesiennych dni nie przelaliśmy przez dzbanek na pewno). Używamy wyłącznie do picia. Do gotowania natomiast wodę z kranu.,1,1,T,,1
"Etui mega spoko, dobrze się trzyma telefonu i zmienia jego wygląd na plus, aż znajomi pytali czy kupiłam nowy telefon.  Niestety szybka trochę gorszej jakości - ale może to dlatego, że ekran mojego modelu tel. jest lekko zaokrąglony i żadna szybka nie trzyma się zbyt dobrze, przez co potem pęka :(   OBsługa i wysłka na 5! ",1,2,N,1.0,1
"Produkt posiada wszystkie wcięcia które powinien posiadać, lecz nie wszystkie kable da się podłączyć do lądowania (dolną część ramki przy gnieździe do ładowania trzeba nadpiłować). Poza tym ramka godna polecenia. Nie odpina się, spadł telefon mi nie raz i nadal żyje (nie korzystam ze szkła hartowanego). Lepsze rozwiązanie niż z podobnymi ramkami przykręcanymi na śrubki które wiecznie się odkręcają.",1,2,N,1.0,1
"Co prawda szkło jest jeszcze krótko na moim telefonie ale już chcę przestrzec potencjalnych kupców o fakcie, iż przez nie (to szkło) bardzo słabo a praktycznie kompletnie nie działa czytnik linii papilarnych. Oby chociaż dobrze ochroniło przed ewentualnym zbiciem ekranu, chociaż chyba nie chciałabym sprawdzać bo jeszcze bym się rozczarowała. ",0,1,N,0.0,0
"to jak dobrze się klei do magnesu zależy od siły magnesu, więc ciężko o uchwyt z wystarczająco silnym magnesem, bo sam telefon też trochę waży ;/ cała reszta jak najbardziej na plus, wygodny i nie tylko powierzchnia ale też dodatkowy uchwyt na palec zwiększa znacznie pewny chwyt :) jak z ochroną ciężko mi ocenić, bo nie upuszczam telefonów",1,2,N,1.0,1
"Witam niestety gdzieś zawieruszył mi się paragon i nici  z reklamacji ,towar oceniam na  beznadziejny ,bateria jest minimalnie mniejsza od wyciągniętej fabrycznej ,ale to by jeszcze nie miało  takiego znaczenia gdyby bateria pracowała poprawnie a pracuje beznadziejnie ,średnio  przy normalnym użytkowaniu wymagała ładowania dwa razy na dzień ",0,0,T,,0
"Rozumiem,że cena słuchawek nie jest porywająca ale fakt,że jedna słuchaweczka była pęknięta a z drugiej paczki, słuchawek jedna z niej jakby nie sklejona od razu wypadła, przentując mi zaratość kabelków itd , to uważam ,ż etowar jest wadliwy. Chyba bym nie poleciła. Za 15,99 kupiłam w markecie identyczne, wszytsko działa, nei rozpadły się po rozpakowaniu :)",0,0,T,,0
"Nie mam możliwości zbadania wody przed i po filtrowaniu, ale czajnik, do którego lejemy wodę tylko przefiltrowaną wcześniej do dzbanka dużo mniej zarasta kamieniem (nie to, ze w ogóle, ale różnica jest bardzo wyraźna). Z rzadka zdarzy, że filtr się przytka (zdarzało się też przy innych producentach), wtedy wystarczy go wyciągnąć i wstrząsnąć.",1,1,T,,1
"Generalnie OK, jednak po sprzęcie kilkukrotnie droższym od najtańszego spodziewałem się lepszej jakości. Radio koszmarne, jeśli ktoś kupuje, żeby posłuchać przed snem, to niestety nie nadaje się. Projektor tylko na sufit i to w pozycji dziwnej, zmiana i regulacja średnio pomaga. Jako zegarek spełnia swoją funkcję, gdu=yby nie radio, można polecać.",1,0,N,0.0,0
"""Albumy są słabej jakości. Materiał nie jest dostatecznie wytrzymały, stąd też zagniecenia okładki albumu  powstają już w chwili transportu. Folia z której wykonana jest """"koperta"""" na zdjęcia jest bardzo delikatna i targa się podczas umieszczania zdjęć w albumie. Cena nie jest wygórowana, ale w marketach można kupić album w tej samej cenie w dużo lepszym wykonaniu.""",0,0,T,,0
"Dla początkujących jak najbardziej okej. Dźwięk nieco przytłumiony, ale to jest mikrofon za kilka stówek, który ma w sobie interfejs audio. Mikrofony pod usb nigdy nie będą tak dobre jak te łączone preampem czy mikserem. Wykonanie wporządku, statyw troszkę ssie popfiltr daje radę. Pudełko raczej minimalistyczne ja osobiście musiałem dokupić walizkę aby móc go bezpiecznie przewozić.",1,1,T,,1
"""Dobra, zgodnie z oczekiwaniami. MA być szybsza od klasycznych mechaników - nie jestem w stanie tego zmierzyć.  Dla zwykłego """"pisania"""" nie najlepsza ze względu na czcionkę i widoczność liter wyłącznie po podświetleniu klawiatury.  Ale szybka potrzebna jest do grania, nie do pisania. Do gier fajna, a pisma też można, tylko trzeba się przyzwyczaić. Jeśli poszukujesz mechanicznej - polecam. """,1,2,N,1.0,1
"Folia 3mk shield mogę polecić. Testowałem wcześniej folię 3mk arc i zauważyłem dużą różnicę pomiędzy tymi foliami. ARC jest mało trwała, szybko krawędzie przestają przylegać i wchodzi pod spód bród. Wkładając telefon do kieszeni spodni folia lubiła przesuwać się. W foli  3mk shield doświadczyłem tego do teraz. Folię mam założoną od września tego roku.",1,2,N,2.0,2
"Dobrze zabezpiecza mój smartfon przed zarysowaniami i upadkami z niewielkich wysokości. Mi się podoba polecam wszystkim. ps. trafił mi się egzemplarz z otworem na czytnik linii papilarnych, którego mój telefon nie ma. Po rozpakowaniu przestraszyła mnie ta dziura z tyłu, ale po napisaniu pierwszego sms-a stwierdziłem że poprawia chwyt przy obsłudze jedną ręką. ",1,2,N,2.0,2
"Porażka! Z tak słabymi zdjęciami jeszcze się nie spotkałam a zawsze zamawiam przez internet! Jakość, kolory i papier który jest bardzo cienki-pierwszy raz coś takiego widzę!  Zdjęcia poniżej do porównania oryginalnego i odbitki. Nie wiem czy z tych 210 zdjęć wybiorę chociaż 20 które się do czegoś nadają. Strata pieniędzy!!!!!!",0,0,T,,0
"""Niestety, zbyt łatwo przesuwająca się przednia klapka (zbyt miękkie zawieszenie) i źle wycięty górny otwór powodują, że komfort używania w postaci praktycznych okienek jest umniejszony przez często pojawiający się komunikat """"Nie zakrywaj górnej części ekranu"""" a tryb pracy z podparciem w zasadzie nie jest użyteczny. Ale na co dzień da się używać jako ochronka telefonu.""",0,0,T,,0
"Bardzo dobrze wykonane etui, idealnie pasuje do telefonu. Jedyny minus to wyjście na słuchawki. Jest otwór w gumie, ale nie ma go w klapce etui, więc podłączenie słuchawek uniemożliwia zamknięcie klapki. Szkło też pasuje idealnie, natomiast ściereczka, która powinna być nasączona płynem do wyczyszczenia ekranu, była sucha. Poza tym brzegi szkła nie doklejają się dokładnie do ekranu.",1,0,N,1.0,1
"Ogólnie w porządku, ale można używać  tylko w gniazdku. Nie można np. postawić i podłączyć do przedłużacza ze względu na wlot powietrza od spodu. Kupiłem z myślą o suszeniu samochodu w środku i do tego się nie nadaje. Głośny i mocno śmierdzi, ale się może się wypali. Obsługa klienta ok.",1,0,N,0.0,0
"""Po niecałym dniu użytkowania szkło zaczęło się kruszyć i pękać, mimo że telefon był w obudowie i tak na prawdę nie uległ żadnemu upadkowi, ani niczemu co mogło wpłynąć na jego uszkodzenie. Mam też wrażenie, że nieco wpływa na jakość przedniego aparatu, ponieważ czasami obraz jest """"zamglony"""". Dopasowanie jest jednak bardzo dobre i sam klej dobrze trzyma.""",1,0,N,0.0,0
"Akumulatorki ładowały się 30 minut do pełnego ładowania ( a były w stanie rozładowania), więc ich pojemność jest pewnie 550mAh a nie deklarowane. W firmowych o pojemności 2000mAh ładowarka potrzebuje ok 4 godzin do pełnego naładowania. Nie spodziewałem się oczywiście otrzymać tego co jest napisane na obudowie, ale mógłby to być produkt trochę lepszy :)",0,1,N,0.0,0
"Płytka, jak płytka. Robi swoje. Trzyma aparat, trzyma się w głowicy. Kupiłem ją jako zamiennik do głowicy Vanguard GH-300T. Była jednak za krótka. Gdyby nie to, byłaby OK. Choć opisują ją jako 38mm, jest jakby trochę za szeroka i za gruba do tej głowicy, ale dałoby się ją zamontować i używać.",1,0,N,1.0,1
Kamera działa ok ale radio to porażka. Guziki na przodzie to atrapa. Gdyby mi gdzieś pokrętło nie wyleciało bo nawet nie było przyklejone to bym odesłał. Gubi dźwięk i raz gra raz nie. Nawet żeby ściszyć to trzeba sie rozkojarzyć bo pokrętło na panelu nie działa. Nie tracie nerwów na te chińskie badziewia. Lepiej dołożyć i mieć spokój.,0,0,T,,0
"Łatwo zamontować, ale trzeba uważać, bo podkład-zabezpieczenie jest twardsze niż samo szkło. Nie trudno złamać szkło przy odklejaniu od zabezpieczenia. Samo szkło ma dobry poślizg, dobrze przylega i ma odpowiednią ilość kleju. Na minus ramki boczne w kolorze, które zasłaniają boczną krzywiznę. Sam dotyk łapie nawet na zakrzywieniu. Gdyby nie to obramowanie to byłby ideał.",1,1,T,,1
"Działa OK, transfery na pendrive HAMA USB 3.0 (w zasadzie 3.1 Gen 1 po zmianie nazw :v) wyciąga pełną prędkość. Ale! Windows czasem może nie zainstalować sterowników do HUBa, objawia się to problemem z niektórymi urządzeniami. Polecam użyć darmowego  programu  SDI (Snappy Driver Installer) do pobrania sterownika - wtedy nie ma bata, musi działać ;) Warte swojej ceny.",2,2,T,,2
"""Wieszak wykonany w bardzo przyzwoity i solidny sposób. Przeznaczony raczej dla ciężkich telewizorów o dużej przekątnej ekranu. Niestety mimo standardu VESA nie nadaje się do telewizorów o rozstawie otworów 30X20 cm - otwory nie są dopasowane i przy np. przekątnej 55"""" uchwyty będą wystawać poza telewizor, chyba że nawierci się dodatkowe otwory samemu. """,1,0,N,1.0,1
"""wg opisu z auk.ji i instrukcji dostarczonej przez producenta czas  działania """"do 8 godzin""""  w praktyce czas działania  jaki udało się uzyskać po całonocnym ładowaniu to 1:45h,  równie dobrze można było by napisać że działa do 1 roku na jednym ładowaniu,  ten adapter to pieniądze wyrzucone w błoto,  nie kupujcie tego""",0,0,T,,0
"Jakość wody naprawdę uległa znacznej poprawie, wcześniej czajnik ciągle się zakamieniał, odkąd używamy filtrowanej wody kamienia nie widać wcale.  Do zakupu podchodziliśmy sceptycznie, ale jesteśmy bardzo zadowoleni, gdyż jakość wody u nas w kranie to istna tragedia, pić tego nawet po przegotowaniu się nie dało, a teraz jest dużo lepiej :)",2,2,T,,2
"""Sokowirówka godna uwagi. """"odpadki"""" są suche więc dobrze wyciska sok. Trochę mały pojemnik na sok. Z marchewkami radzi sobie nieźle. Sysyem niekapania czasem przypadkowo się zamyka co jest niebezpieczne dla mechanizmu bo może zalać się sokiem ale jest bardzo przydatny bo można w spokoju przelać sok do szklanki bez podkładania dodatkowych pojemniczków. Czysto i wygodnie.  Ja polecam""",2,2,T,,2
"""Torba świetnie wykonana, zamki bardzo dobrej jakości, ładnie przesuwają się i nie zacinają. Co ważne nie czuć """"Chińczykiem"""" od tej torby. Metka z napisem """"Made in Poland"""" bardzo na plus :) Fajnie jakbyście jeszcze zrobili szmacianą wszywkę w środku z tym napisem bo to ważna sprawa :) Polecam z czystym sumieniem :)""",2,2,T,,2
"Produkt spełnia swoje przeznaczenie, jednakże podczas użytkowania na produkcie pozostają wyraźne ślady zagięć co w znaczącym stopniu szkodzi estetyce. Ślady te nie odkształcają się same, tylko pozostają na produkcie. Za cenę 40 zł od produktu oczekuję nie tylko spełniania swoich funkcji ale również estetycznego wyglądu co niestety w tym przypadku jest psute przez odkształcenia.",1,0,N,0.0,0
"spełnia swoje zadanie, ale poprzedni model który miałem miał metalowy spód a tu plastik, nie otwiera się bezszelestnie tylko na sucho trochę szoruje (przydałoby się jakieś smarowanie), wydaje sygnał dźwiękowy otwierając się z kilko sek. opóźnieniem, to też w porównaniu do mojej oryginalnej z laptopa trochę dziwne, dioda świeci na żółto, a w starej miałem na pomarańczowo",1,1,T,,1
"Produkt o doskonałym kompaktowym wymiarze, który sprwuje się bardzo dobrze do podstwowych domowych potrzeb gdzie jest potrzeba odtworzenia płyt DVD. Złącze HDMI zapewnia doskonała jakosc obrazu. Bardzo łatwa obsługa wygodny pilot na zadowalajacym poziomie. Praca z pamieciami Flasch po podpieciu do portu USB uzalezniona od ich objętości im większa pamięć tym dłuższa praca urzadzenia. Do podstawowych potrzeb goraco polecam. ",2,2,T,,2
"Wygląd jak na zdjęciach, jednak cyfry są zbyt wąskie. UWAGA  w opisie przedmiotu nie ma informacji, że zegarek nie posiada trybu 24h, jest tylko 12AM/PM. Gdyby to było zamieszczone w opisie, to nie kupiłbym go. Chyba nie ma w zegarku bardziej irytującej rzeczy, jak gdy zamiast np. 15:00 widzę 3:00.",0,0,T,,0
"Szukałam czegoś, co pozwoli mi zwiększyć pojemność dysku mojego laptopa, a nie będzie powodować problemów pierwszego świata, jak plątanina kabli czy wystająca karta. Kiedyś widziałam coś podobnego na zagranicznych stronach, a tu nagle trafiłam na to cudo. Sprawdza się genialnie, minimalnie wystaje, ale obły kształt i brak krawędzi sprawiają, że nie ma szans tego zaczepić, złamać itp. Super!",2,2,T,,2
"Świetne rozwiązanie do zastosowań domowych i nie tylko, ogranicza was tylko wyobraźnia. Świetnie trzyma telefon a nawet mały aparat fotograficzny. Można to małe cacko ponieść ze sobą gdzie się chce bo jest naprawdę leciutkie. Ustawić lub przyczepić w najprzeróżniejszych miejscach i kręcić lub robić zdjęcia w trudnych warunkach oświetlenia. Bomba do zdjęć z książek.",2,2,T,,2
"etui ładne, magnes trzymam wzorek nie ściera się, na narożnikach wycierają się krawędzie, z czasem zgięcia etui przestają się trzymać w pozycji np. do oglądania filmu. Szkło pomimo reklamowania dopasowania do konkretnego modelu telefonu nie przylega w całości (w opisie uwzględniono to) - jest o 5 mm krótsze niż ekran i na zaokrągleniach płaszczyzn odstaje. ",1,1,T,,1
"Po ponad miesiącu użytkowania mogę stwierdzić iż casy są średniej jakości, szybko się rysują i pękają same na rogach. Kupiłem 4 sztuki i dwie z nich już wylądowały w koszu gdyż pękł sam bok i pęknięcie posuwało się dalej, aż obudowa się ukruszyła. Ponadto kolor czerwony potrafi brudzić i farbować. No ale jaka cena taka jakość. ",0,0,T,,0
Dysk jest widoczny jako SAMSUNG - nieco mniejsza pojemność od zadeklarowanej ( około 112 GB)  Lecz za takie pieniądze to świetny zapas na dane - tym bardziej że HDD a nie flasch więc jest szansa że przetrwają lata ( np zdjęcia i filmy jakie chcemy zachować - bo właśnie w tym celu został zakupiony ),1,1,T,,1
Nie polecam. Pasek miał być najwyższej jakości. Sam pasek jest ok natomiast jeden z teleskopów jest nieco grubszy i nie dokładnie pasuje. ( teleskopy to tani zamiennik) Nie zakładam paska gdyż obawiam się że mogę go zgubić. ( szkoda stracić zegarek za niemałe pieniądze ). Nie polecam osobom którzy cenią sobie jakość produktu.,0,0,T,,0
"Według mnie takie coś nie powinno trafić na rynek. Szkło nie przykleja się na brzegach ekranu (bo jest on leciutko zaokrąglony), z czasem pod spód dostaje się kurz i syf i całość wygląda tragicznie,  niestety do tego telefonu trzeba kupić albo szkło bardziej miękkie (7H), albo sporo mniejsze, albo folię... powinni tego zabronić",0,0,T,,0
"Po pierwsze szkło ewidentnie nie jest dedykowane do Redmi Note 6 Pro. Jest dużo za małe i nie zakrywa całego ekranu, a do tego czarny pasek z dołu zakrywa część wyświetlacza. o Otwory na obiektyw, słuchawkę i czujniki również nie pasują. Jakby tego było mało mój egzemplarz był mocno uszkodzony, a konkretnie cały popękany. Nie polecam.",0,0,T,,0
"Zakupiłem torbę razem z maszynkami do strzyżenia oraz innymi akcesoriami fryzjerskimi. Z początku myślałem, że jest za duża ale po ułożeniu wszystkiego w środku okazała się w sam raz. Zamykana jest na zamek z dopinanym paskiem i wyposażona w środku w kieszonki na maszynki oraz inne akcesoria dzięki czemu można mieć wszystkie potrzebne do strzyżenia rzeczy w jednym miejscu. ",2,1,N,1.0,1
"Bateria zapakowana fabrycznie jednak w instrukcji napisane było,że powinna pokazywać 70% naładowania a niestety było 5% ! Po trzech próbach ładowania (ładowała się kilka minut i konie) naładowała się i działa ale nie wiem czy to 5 zamiast 70 nie będzie miało wpływu na żywotność.Nie jestem w stanie tego ocenić po kilku dniach więc mam trochę mieszane odczucia.",1,0,N,1.0,1
Porażka. Ekspres za prawie 4tys. zł był wysyłany kilkukrotnie na serwis w przeciągu 2 lat użytkowania. Za każdym razem serwis stwierdzał że ekspres był zbyt rzadko odkamieniany co było nie prawdą. Zawsze był odkamieniany gdy pojawiał się komunikat. Albo coś jest nie tak z odkamieniaczem DeLonghi albo z ekspresem tego samego pożal się Boże producenta. Nigdy więcej DeLonghi.,0,0,T,,0
"Porażka. Pomimo odkamieniania i czyszczenia układu spieniania mleka ekspres kilkukrotnie ulegał awarii i był wysyłany do serwisu. Serwis stwierdzał że ekspres był za rzadko czyszczony, co oczywiście było nie prawdą. Albo coś jest nie tak z ekspresem tej samej firmy albo że środkami do czyszczenia. Nigdy więcej DeLonghi!!! Zarówno sprzętu jak i chemii. PORAŻKA!!!",0,0,T,,0
"Bardzo dobry odkurzacz. Siła ssania zaskakująco mocna. Głośność akceptowalna, bo odgłos pracy jest inny niż w starych odkurzaczach. Dzieci bały się starego Samsunga o głośności podobnej w decybelach, ale była inna praca silnika. Tego odkurzacza się nie boją, bo przyjemnie szumi. Polecam - zawsze długo i staranie dobieram sprzęt - tym razem ponownie strzał w 10. ",2,2,T,,2
"Rakieta - 8 rdzeni, 16 wątków. Super wentylator RGB z logiem AMD. Chciałem z początku kupić threadrippera, ale ten procesor starczy aż nadto. Głównie dlatego, że większość obliczeń przerzucam na GPU. Wentylator cichy. W dobrych płytach głównych można zmieniać mu obroty w zależności od temperatury procesora. W moim przypadku przez większość czasu jest po prostu niesłyszalny.",1,2,N,2.0,2
Gorąco polecam tę szczotkę szczególnie właścicielom czworonogów. Kilkanaście lat szukałam skutecznego sposobu na sprzątanie kocich kłaków z dywanów. Szczotki obrotowe nie dawały rady. Ta szczotka jest rewelacyjna. Ściąga włosy ekspresowo. Trzeba się trochę namachać ale efekt jest piorunujący. Dla mnie to odkrycie równomierne z odkryciem koła. No i cena oczywiście też super. Taki efekt za niecałe 30 zł. POLECAM!!!!,2,2,T,,2
"""Według mnie najlepszy rodzaj etui, wytrzymałe i dobrze chroni, niestety """"nózka"""" się wyrabia i po kilku miesiącach (jeżeli się jej często używa) potrafi się popsuć, tzn. połamać bądź pęknąć. Mimo to telefon w czymś takim nie wygląda źle, a jego żywotność na pewno mocno się wydłuża i korzystam z miłą chęcią.""",2,0,N,1.0,1
"Etui ładne, niestety zostaje sporo tłustych śladów, a dostęp do otwarcia stopki (kółka) jest nieco ograniczony i trudno to zrobić bez paznokci. Telefon na pewno ochroni lepiej od jakiegoś zwykłego silikonu i jest przyjemne w dotyku, a fakt iż można w sekundę zamontować telefon do stojaka (niestety chyba tylko do samochodu) za pomocą magnesu to ogromny plus.",1,0,N,1.0,1
"Bardzo słaby. Po pierwsze, wbrew promocyjnym zapewnieniem nie da się nalać wody bez zdjęcia pokrywki, bo nie widać poziomu nalewanej wody. Do tego  jest tak zbudowany, że nie można korzystać z wody, zanim się cała nie przefiltruje: przy próbie wcześniejszego wylania z dzbanka przefiltrowanej wody wylewa się jednocześnie przez otwory w pokrywie (te do napełniania dzbanka) woda nieprzefiltrowana.  ",0,0,T,,0
"Używam od miesiąca, bardzo fajne słuchawki, jakość dźwięku OK, fantastycznie leżą w uchu (nie ma opcji żeby wypadły nawet przy intensywnym sporcie, przy czym bardzo wygodnie się zakłada). Jeden mankament - czasem po włączeniu szwankuje komunikacja bluetooth (łączy się i rozłącza z telefonem w kółko) - jednak po ponownym restarcie słuchawek jest OK.",2,2,T,,2
"Dla małych telefonów ok, choć plastik nie sprawia wrażenia solidnego i wygina się dosyć łatwo. Uchwyt nie nadaje się dla średnich i większych smartfonów ponieważ jest za mały. Sprężyna jest za silna i mój telefon, który ma 7,5 cm szerokości wchodzi już na mocny wcisk i trudno go tam zamocować. ",1,1,T,,1
"Całkiem ok trzyma się szyby jak nie odkleja się i przykleja codziennie. 2 razy odpadł przy upale powyżej 30 stopni - nie było to w trakcie jazdy. Nie ma kilku kolorów metalowych naklejek na tył smartfona, wg. mnie powinna być biała i czarna w zestawie. Ja używam pod etui cienkim i jest ok.",1,1,T,,1
"Łatwy montaż i dobrze trzyma się szyby. Szybkie, proste wkładanie telefonu. Jeżeli nie używa się telefonu ładuje tak szybko jak ładowarka standardowa na kablu. Przy używaniu nawigacji, ładowanie bardzo powolne, ale zawsze trochę  doładuje - ale musi być dobry zasilacz USB i dobry kabel aby przy długim kablu był mały spadek napięcia.",1,1,T,,1
Bardzo fajna myszka o standardowym kształcie i niebiesko-czarnym kolorze. Nadaje się w sam raz do użytku w biurze czy też w domu. Jest bardzo lekka oraz działa bezprzewodowo. Mysz działa nawet do 5 metrów od odbiornika. Obsługuje technologię Logitech Unifying dzięki której można sparować kilka urządzeń firmy Logitech do jednego odbiornika USB co pozwala na zaoszczędzenie gniazd USB.,2,2,T,,2
